mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0769777774810791,0.010935057202583956,0.005457496643066407,0.0017318634642664722,0.1,7,100,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100}",0.8870702385902405,0.8978888988494873,0.907361626625061,0.9089038968086243,0.8920542001724243,0.8986557722091675,0.008475958898651041,8
0.15925216674804688,0.02537718792361161,0.009868478775024414,0.002294810669417927,0.1,7,200,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.9001554846763611,0.904220700263977,0.9153604507446289,0.9193006157875061,0.8975419402122498,0.9073158383369446,0.008540846657289127,2
0.21304936408996583,0.01893483003076449,0.014236545562744141,0.006100931845586946,0.1,7,300,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 300}",0.9027357697486877,0.9046906232833862,0.9169242978096008,0.9206812381744385,0.8974097371101379,0.9084883332252502,0.00883269278085173,1
0.03382606506347656,0.01033598030954484,0.0018209457397460938,0.0008108978591451496,0.2,3,100,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100}",0.8445054292678833,0.8507376909255981,0.854401171207428,0.854484498500824,0.8573030829429626,0.8522863745689392,0.0044139099981141666,16
0.054056644439697266,0.0074820089351134945,0.004042863845825195,0.0011934943830014535,0.2,3,200,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200}",0.866848349571228,0.8685546517372131,0.876253604888916,0.8772350549697876,0.8702712655067444,0.8718325853347778,0.004165507567569106,14
0.08269400596618652,0.005953798519378876,0.0038527965545654295,0.0016575086677672922,0.2,3,300,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 300}",0.8801516890525818,0.875959575176239,0.8833690881729126,0.8877855539321899,0.8777954578399658,0.8810122728347778,0.004196431153927285,12
0.04515795707702637,0.006358255650693603,0.0038599491119384764,0.0013476532976367172,0.2,5,100,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100}",0.885059654712677,0.8922175765037537,0.9018447995185852,0.8985373377799988,0.8837998509407043,0.8922918438911438,0.007137074685946122,10
0.08330984115600586,0.01138958311657903,0.005882787704467774,0.002020445949646939,0.2,5,200,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}",0.8960009217262268,0.9032357335090637,0.9112350344657898,0.9105184674263,0.8931291699409485,0.9028238654136658,0.007357499319129284,6
0.12733168601989747,0.01378056531658976,0.007978391647338868,0.002088769490414241,0.2,5,300,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 300}",0.8991724252700806,0.9060730934143066,0.9148485660552979,0.9148236513137817,0.896150529384613,0.9062136530876159,0.007740269973019714,3
0.07975282669067382,0.012847536355231932,0.0037932395935058594,0.0005496421690767552,0.2,7,100,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 100}",0.903593897819519,0.9049263000488281,0.9119493365287781,0.9220366477966309,0.8709534406661987,0.902691924571991,0.017164238071784996,7
0.17190303802490234,0.011659266424937052,0.008460712432861329,0.002218836100621374,0.2,7,200,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 200}",0.9079055786132812,0.9057340621948242,0.9119027853012085,0.922744870185852,0.874221682548523,0.9045017957687378,0.01623313823679702,4
0.1994781494140625,0.016564706700042956,0.00868210792541504,0.00013409484984467222,0.2,7,300,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 300}",0.9060030579566956,0.9042787551879883,0.9118024110794067,0.9205287098884583,0.8739291429519653,0.9033084154129029,0.015748211404850793,5
